11/21/18 18:12:56:503 | [INFO] |  |  |  | DispatchClientLib |  |  | 67301 | Returning from getEndpointAddr: [0]
11/21/18 18:12:56:503 | [ERROR] |  |  |  | AdobeGCIALWrapper |  |  | 67301 | Fetching server URL from dispatch table
11/21/18 18:12:56:503 | [INFO] |  |  |  | DispatchClientLib |  |  | 67301 | Dispatch table loaded from path: /Library/Application Support/Adobe/AdobeGCClient/.//dispatchtable.xml 
11/21/18 18:12:56:503 | [INFO] |  |  |  | DispatchClientLib |  |  | 67301 | (re)load Local Dispatch Table status-[0].
11/21/18 18:12:56:503 | [INFO] |  |  |  | DispatchClientLib |  |  | 67301 | Scope : [2]
11/21/18 18:12:56:503 | [INFO] |  |  |  | DispatchClientLib |  |  | 67301 | Setting scope to GM
11/21/18 18:12:56:503 | [INFO] |  |  |  | AdobeGCIALWrapper |  |  | 67301 | AdobeIALClient 1.0 Release (build 1.0.6.3) initializing session...
11/21/18 18:12:56:504 | [INFO] |  |  |  | DispatchClientLib |  |  | 67301 | EndPoint requested: [ETSEndPoint]
11/21/18 18:12:56:504 | [INFO] |  |  |  | DispatchClientLib |  |  | 67301 | Length of the URL: [48]
11/21/18 18:12:56:504 | [INFO] |  |  |  | DispatchClientLib |  |  | 67301 | Returning from getEndpointAddr: [0]
11/21/18 18:12:56:504 | [INFO] |  |  |  | DispatchClientLib |  |  | 67301 | EndPoint requested: [ETSEndPoint]
11/21/18 18:12:56:504 | [INFO] |  |  |  | DispatchClientLib |  |  | 67301 | Length of the URL: [48]
11/21/18 18:12:56:504 | [INFO] |  |  |  | DispatchClientLib |  |  | 67301 | URL found [https://na1e.services.adobe.com/hsmessaging/rest]
11/21/18 18:12:56:504 | [INFO] |  |  |  | DispatchClientLib |  |  | 67301 | Returning from getEndpointAddr: [0]
11/21/18 18:12:56:505 | [INFO] |  |  |  | AdobeGCClientNSLookup |  |  | 67301 | deleteServerDomainBlockedKeyFromCache 
11/21/18 18:12:56:516 | [INFO] |  |  |  | AdobeGCClientNSLookup |  |  | 67301 | deleteServerAliasBlockedKeyFromCache 
11/21/18 18:12:56:517 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 67301 | Threaded CFU Started
11/21/18 18:12:56:517 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 67301 | Update call started
11/21/18 18:12:56:517 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 67301 | Suppress Update Flag = 0
11/21/18 18:12:56:517 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 67301 | GC Kill Switch = 0
11/21/18 18:12:56:518 | [ERROR] |  |  |  | AdobeGCUpdaterCFU |  |  | 67301 | Time flag read
11/21/18 18:12:56:518 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 67301 | LastUpdateCheckDurationPassed from cache 1542858257
11/21/18 18:12:56:518 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 67301 | LastUpdateCheckDurationPassed cached 1542858257 , curr 1542795176 res = 0
11/21/18 18:12:56:518 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 67301 | Suppressing update check for this launch
11/21/18 18:12:56:518 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 67301 | Update call ended
11/21/18 18:12:56:518 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 67301 | GCClient App not being downloaded
11/21/18 18:12:56:518 | [INFO] |  |  |  | AGSService |  |  | 67301 | Inside CheckCFU
11/21/18 18:12:56:518 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 67301 | Threaded CFU Ended
11/21/18 18:12:56:518 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 67301 | Semaphore signalled
11/21/18 18:13:01:513 | [INFO] |  |  |  | AGSService |  |  | 558 | AGSSerice Main ...6.1.0.91
